date,test,negative
2020-01-20,1,0
2020-01-21,1,0
2020-01-22,4,3
2020-01-23,22,21
2020-01-24,27,25
2020-01-25,27,25
2020-01-26,51,47
2020-01-27,61,56
2020-01-28,116,97
2020-01-29,187,155
2020-01-30,246,199
2020-01-31,312,245
2020-02-01,371,289
2020-02-02,429,327
2020-02-03,490,414
2020-02-04,607,462
2020-02-05,714,522
2020-02-06,885,693
2020-02-07,1352,1001
2020-02-08,2097,1134
2020-02-09,2598,1683
2020-02-10,3110,2552
2020-02-11,4325,3535
2020-02-12,5624,4811
2020-02-13,6511,5921
2020-02-14,7242,6679
2020-02-15,7734,7148
2020-02-16,8161,7647
2020-02-17,8718,7980
2020-02-18,9772,8923
2020-02-19,11173,9973
2020-02-20,13202,11238
2020-02-21,16400,13016
2020-02-22,21586,15116
2020-02-23,26179,17520
2020-02-24,32756,20292
2020-02-25,40304,25447
2020-02-26,53553,31576
2020-02-27,66652,39318
2020-02-28,81167,48593
2020-02-29,94055,55723
2020-03-01,98921,61825
2020-03-02,109591,71580
2020-03-03,125851,85484
2020-03-04,136707,102965
2020-03-05,146541,118965
2020-03-06,164740,136624
2020-03-07,178189,151802
2020-03-08,188518,162008
2020-03-09,196618,171778
2020-03-10,210144,184179
2020-03-11,222395,196100
2020-03-12,234998,209402
2020-03-13,248647,222728
2020-03-14,261335,235615
2020-03-15,268212,243778
2020-03-16,274504,251297
2020-03-17,286716,261105
2020-03-18,295647,270888
2020-03-19,307024,282555
2020-03-20,316664,292487
2020-03-21,327509,303006
2020-03-22,331780,308343
2020-03-23,338036,315447
2020-03-24,348582,324105
2020-03-25,357896,334481
2020-03-26,364942,341332
2020-03-27,376961,352410
2020-03-28,387925,361883
2020-03-29,394141,369530
2020-03-30,395194,372002
2020-03-31,410564,383886
2020-04-01,421547,395075
2020-04-02,431743,403882
2020-04-03,443273,414303
2020-04-04,455032,424732
2020-04-05,461233,431425
2020-04-06,466804,437225
2020-04-07,477304,446323
2020-04-08,486003,457761
2020-04-09,494711,468779
2020-04-10,503051,477303
2020-04-11,510479,485929
2020-04-12,514621,490321
2020-04-13,518743,494815
2020-04-14,527438,502223
2020-04-15,534552,508935
2020-04-16,538775,513894
2020-04-17,546463,521642
2020-04-18,554834,530631
2020-04-19,559109,536205
2020-04-20,563035,540380
2020-04-21,571014,547610
2020-04-22,577959,555144
2020-04-23,583971,563130
2020-04-24,589520,569212
2020-04-25,595161,575184
2020-04-26,598285,578558
2020-04-27,601660,582027
2020-04-28,608514,588559
2020-04-29,614197,595129
2020-04-30,619881,600482
2020-05-01,623069,603610
2020-05-02,627562,608286
2020-05-03,630973,611592
2020-05-04,633921,614944
2020-05-05,640237,620575
2020-05-06,643095,624280
2020-05-07,649388,630149
2020-05-08,654863,635174
2020-05-09,660030,640037
2020-05-10,663886,642884
2020-05-11,668492,646661
2020-05-12,680890,653624
2020-05-13,695920,665379
2020-05-14,711484,679771
2020-05-15,726747,695854
2020-05-16,740645,711265
2020-05-17,747653,718943
2020-05-18,753211,726053
2020-05-19,765574,737571
2020-05-20,776433,748972
2020-05-21,788684,759473
2020-05-22,802418,770990
2020-05-23,814420,781686
2020-05-24,820289,788766
2020-05-25,826437,796142
2020-05-26,839475,806206
2020-05-27,852876,820550
2020-05-28,868666,834952
2020-05-29,885120,849161
2020-05-30,902901,865162
2020-05-31,910822,876060
2020-06-01,921391,885830
2020-06-02,939851,899388
2020-06-03,956852,917397
2020-06-04,973858,934030
2020-06-05,990960,950526
2020-06-06,1005305,965632
2020-06-07,1012769,974512
2020-06-08,1018214,982026
2020-06-09,1035997,996686
2020-06-10,1051972,1013847
2020-06-11,1066888,1029447
2020-06-12,1081487,1045240
2020-06-13,1094704,1059301
2020-06-14,1100328,1066887
2020-06-15,1105719,1072805
2020-06-16,1119767,1084980
2020-06-17,1132823,1099136
2020-06-18,1145712,1111741
2020-06-19,1158063,1124567
2020-06-20,1170901,1137058
2020-06-21,1176463,1143971
2020-06-22,1182066,1150225
2020-06-23,1196012,1161250
2020-06-24,1208597,1175817
2020-06-25,1220478,1189015
2020-06-26,1232315,1200885
2020-06-27,1243780,1211261
2020-06-28,1251695,1219975
2020-06-29,1259954,1228698
2020-06-30,1273766,1240157
